,ID,Country,Place.Name,Post.Code,Latitude,Longitude,First.IP.Number,Last.IP.Number
1,1,BW,Gaborone,NA,-24.6464,25.9119,692781056,692781567
2,2,BW,Gaborone,NA,-24.6464,25.9119,692781824,692783103
3,3,BW,Gaborone,NA,-24.6464,25.9119,692909056,692909311
4,4,BW,Gaborone,NA,-24.6464,25.9119,692909568,692910079
5,5,BW,Gaborone,NA,-24.6464,25.9119,693051392,693052415
6,6,BW,Gaborone,NA,-24.6464,25.9119,693078272,693078527
7,7,BW,Gaborone,NA,-24.6464,25.9119,693608448,693616639
8,8,BW,Gaborone,NA,-24.6464,25.9119,696929792,696930047
9,9,BW,Gaborone,NA,-24.6464,25.9119,700438784,700439039
10,10,BW,Gaborone,NA,-24.6464,25.9119,702075904,702076927
11,11,BW,Gaborone,NA,-24.6464,25.9119,702498816,702499839
12,12,BW,Gaborone,NA,-24.6464,25.9119,702516224,702517247
13,13,BW,Gaborone,NA,-24.6464,25.9119,774162663,774162667
14,14,BW,Gaborone,NA,-24.6464,25.9119,1401887232,1401887743
15,15,BW,Gaborone,NA,-24.6464,25.9119,1754209024,1754209279
16,16,NE,Niamey,NA,13.5167,2.1167,696918528,696919039
17,17,NE,Niamey,NA,13.5167,2.1167,696922112,696924159
18,18,NE,Niamey,NA,13.5167,2.1167,701203456,701203711
19,19,NE,Niamey,NA,13.5167,2.1167,758886912,758887167
20,20,NE,Niamey,NA,13.5167,2.1167,1347294153,1347294160
21,21,NE,Niamey,NA,13.5167,2.1167,1755108096,1755108351
22,22,NE,Niamey,NA,13.5167,2.1167,1755828480,1755828735
23,23,MZ,Maputo,NA,-25.9653,32.5892,692883456,692883967
24,24,MZ,Maputo,NA,-25.9653,32.5892,692944896,692946943
25,25,MZ,Maputo,NA,-25.9653,32.5892,696967168,696971263
26,26,MZ,Maputo,NA,-25.9653,32.5892,700358656,700360959
27,27,MZ,Maputo,NA,-25.9653,32.5892,702292992,702294015
28,28,MZ,Maputo,NA,-25.9653,32.5892,702324736,702328831
29,29,MZ,Maputo,NA,-25.9653,32.5892,702365952,702366719
30,30,MZ,Maputo,NA,-25.9653,32.5892,702519296,702519551
31,31,MZ,Maputo,NA,-25.9653,32.5892,774162694,774162698
32,32,MZ,Maputo,NA,-25.9653,32.5892,1754252544,1754252799
33,33,MZ,Maputo,NA,-25.9653,32.5892,1755839232,1755839487
34,34,MZ,Maputo,NA,-25.9653,32.5892,1762662400,1762662911
35,35,MZ,Maputo,NA,-25.9653,32.5892,1762693120,1762695167
36,36,MZ,Maputo,NA,-25.9653,32.5892,1763041280,1763049471
37,37,MZ,Maputo,NA,-25.9653,32.5892,1763459072,1763463167
38,38,MZ,Maputo,NA,-25.9653,32.5892,1777063936,1777065983
39,39,GH,Tema,NA,5.6167,-0.0167,701105152,701106175
40,40,GH,Tema,NA,5.6167,-0.0167,701640704,701642652
41,41,GH,Tema,NA,5.6167,-0.0167,701642654,701642751
42,42,GH,Tema,NA,5.6167,-0.0167,1347903232,1347903232
43,43,GH,Tema,NA,5.6167,-0.0167,1347903234,1347903487
44,44,GH,Kumasi,NA,6.6833,-1.6167,701696000,701697023
45,45,GH,Kumasi,NA,6.6833,-1.6167,701698048,701699071
46,46,GH,Kumasi,NA,6.6833,-1.6167,768742656,768742911
47,47,GH,Kumasi,NA,6.6833,-1.6167,768746496,768746751
48,48,GH,Kumasi,NA,6.6833,-1.6167,1347293496,1347293496
49,49,GH,Kumasi,NA,6.6833,-1.6167,1347898378,1347898378
50,50,GH,Kumasi,NA,6.6833,-1.6167,1755737088,1755737343
51,51,GH,Takoradi,NA,4.8833,-1.75,700294784,700294911
52,52,GH,Takoradi,NA,4.8833,-1.75,701697024,701698047
53,53,GH,Takoradi,NA,4.8833,-1.75,701699072,701700095
54,54,GH,Accra,NA,5.55,-0.2167,691654656,691654911
55,55,GH,Accra,NA,5.55,-0.2167,691656960,691657215
56,56,GH,Accra,NA,5.55,-0.2167,692243968,692244223
57,57,GH,Accra,NA,5.55,-0.2167,692246528,692246783
58,58,GH,Accra,NA,5.55,-0.2167,692247296,692247551
59,59,GH,Accra,NA,5.55,-0.2167,692248064,692248191
60,60,GH,Accra,NA,5.55,-0.2167,692249152,692249215
61,61,GH,Accra,NA,5.55,-0.2167,692249344,692249471
62,62,GH,Accra,NA,5.55,-0.2167,692249600,692249983
63,63,GH,Accra,NA,5.55,-0.2167,692250560,692250879
64,64,GH,Accra,NA,5.55,-0.2167,692251392,692251455
65,65,GH,Accra,NA,5.55,-0.2167,692252416,692252671
66,66,GH,Accra,NA,5.55,-0.2167,692253184,692253439
67,67,GH,Accra,NA,5.55,-0.2167,692253824,692253951
68,68,GH,Accra,NA,5.55,-0.2167,692254208,692254719
69,69,GH,Accra,NA,5.55,-0.2167,692256000,692256255
70,70,GH,Accra,NA,5.55,-0.2167,692738048,692740095
71,71,GH,Accra,NA,5.55,-0.2167,692852736,692852991
72,72,GH,Accra,NA,5.55,-0.2167,693999616,694001663
73,73,GH,Accra,NA,5.55,-0.2167,696980480,696983551
74,74,GH,Accra,NA,5.55,-0.2167,696989696,696990719
